Particulars,Note,CurrentYear,PreviousYear
REVENUE,,,
Revenue from operations,18,23877.19,17084.80
Other income,19,559.91,940.85
Total revenue,,24437.10,18025.65
EXPENSES,,,
Cost of raw materials and components consumed,20a,2477.91,1099.01
Purchase of stock-in-trade,20b,10944.63,4658.65
"Changes in inventories of finished goods, work-in-progress and stock-in-trade",21,-2554.46,2617.29
Employee benefits expense,22,3786.84,3398.22
Finance costs,23,928.18,1035.45
Depreciation and amortization expense,24,2419.64,2647.50
Other expenses,25,5037.34,3689.80
Total expenses,,23040.08,19145.92
Profit/ (Loss) before income tax,,1397.02,-1120.27
Exceptional Items,26 (a),0,46.10
Profit/ (Loss) before tax,,1397.02,-1166.37
Tax expense:,,,
Current tax,6,42.92,0.87
Deferred tax charge/ (credit),6,324.17,-274.13
Profit/ (Loss) for the year,,1029.93,-893.11
Other comprehensive income,,,
Items that will not to be reclassified to profit or loss in subsequent periods:,,,
Re-measurement gains/(losses) on defined benefit plans,26 (b),-5.81,65.28
Income tax effect,6,1.46,-16.43
"Other comprehensive income for the year, net of income tax",,-4.35,48.85
"Total comprehensive income for the year, net of income tax",,1025.58,-844.26
Earnings/ (Losses) per equity share (nominal value per share INR 5 (March 31 2021- INR,5)),,
(1) Basic (INR),28,8.01,-6.95
(2) Diluted (INR),28,8.01,-6.95
Significant Accounting Policies,2&3,,
The accompanying notes are an integral part of these financial statements,,,
As per our report of even date attached For and on behalf of,the Board of,DirectorsofBata,IndiaLimited
For B S R & Co. LLP Gunjan,Shah,AshokKumar,Barat
ICAI Firm Registration number: 101248W/W-100022 Managing,Director & CEO,Independent,Director
Chartered Accountants DIN:,08525366,DIN:,00492930
Rajiv Goyal Vidhya,Srinivasan,Nitin,Bagaria
Partner Director,Finance & CFO,Company,Secretary
Membership no.: 094549 DIN:,06900413,Membershipno.,ACS20228
Place: Gurugram Place: Gurugram,,,
Date: 25 May 2022 Date: 25 May 2022,,,
