Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Equity Share Capital,0.1,0.1,151.87,151.87,152.16,152.34,152.63,152.7,152.8
Reserves,160.25,203.43,132.56,160.76,275.42,399.78,499.03,603.81,753.45
Borrowings,127.07,126.68,245.34,177.24,288.99,335.0,177.76,232.27,236.16
Other Liabilities,107.39,108.95,124.58,196.37,247.05,297.23,285.85,339.19,324.78
Total,394.81,439.16,654.35,686.24,963.62,1184.35,1115.27,1327.97,1467.19
Net Block,47.96,53.55,146.25,254.61,322.15,373.22,353.78,430.18,516.44
Capital Work in Progress,10.79,24.57,35.2,0.25,2.47,3.81,20.07,34.35,10.97
Investments,36.89,61.51,0.2,,,,,,
Other Assets,299.17,299.53,472.7,431.38,639.0,807.32,741.42,863.44,939.78
Total,394.81,439.16,654.35,686.24,963.62,1184.35,1115.27,1327.97,1467.19
Receivables,127.12,109.8,135.88,98.2,133.68,176.65,118.26,148.01,152.75
Inventory,75.62,97.57,154.89,206.89,357.66,457.4,414.96,402.61,449.45
Cash & Bank,1.44,1.62,59.42,1.04,0.35,23.99,24.81,24.51,3.96
