Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Equity Share Capital,17.97,17.97,17.97,17.97,17.97,17.97,18.13,18.38,18.38
Reserves,250.52,269.7,215.53,182.96,189.67,207.39,221.64,233.28,148.73
Borrowings,68.48,109.04,286.57,244.18,242.32,309.77,320.58,295.21,249.15
Other Liabilities,152.68,153.09,178.39,185.38,201.2,200.0,171.3,214.42,130.42
Total,489.65,549.8,698.46,630.49,651.16,735.13,731.65,761.29,546.68
Net Block,125.85,131.65,277.09,229.73,201.37,243.57,243.55,226.18,154.51
Capital Work in Progress,1.46,1.74,0.64,1.1,0.91,0.76,0.15,0.21,0.43
Investments,,,0.09,0.09,0.09,0.14,0.15,0.21,0.2
Other Assets,362.34,416.41,420.64,399.57,448.79,490.66,487.8,534.69,391.54
Total,489.65,549.8,698.46,630.49,651.16,735.13,731.65,761.29,546.68
Receivables,126.73,134.12,118.98,120.7,133.11,187.55,184.7,221.07,186.38
Inventory,126.69,155.0,169.65,140.68,167.93,180.42,193.64,216.88,128.89
Cash & Bank,15.64,8.58,7.9,3.9,10.7,14.28,17.17,13.05,10.36
