Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Sales,748.71,799.18,771.87,626.18,591.08,660.26,426.25,418.03,367.1
Raw Material Cost,469.62,525.23,507.67,275.17,388.38,408.4,222.32,225.37,179.29
Change in Inventory,4.31,28.77,16.45,-29.09,17.1,25.07,15.32,34.54,-8.18
Power and Fuel,13.34,16.61,17.91,15.25,17.07,18.25,6.83,7.27,
Other Mfr. Exp,26.27,31.13,34.1,171.6,31.89,34.25,11.11,11.0,
Employee Cost,65.17,72.06,73.27,60.81,57.36,71.91,56.73,60.33,48.01
Selling and admin,97.34,120.17,115.02,64.04,59.99,74.81,64.8,72.4,
Other Expenses,2.74,3.62,5.49,3.17,2.21,2.95,4.38,6.08,82.51
Other Income,8.1,6.34,5.77,15.87,14.2,17.48,-9.1,-4.16,8.95
Depreciation,15.62,18.43,41.94,39.24,33.58,38.37,27.7,28.78,26.79
Interest,14.06,13.83,32.72,26.8,24.13,31.3,28.42,29.37,26.24
Profit before tax,56.96,33.21,-34.03,-43.12,7.77,22.57,10.18,7.81,5.03
Tax,19.07,12.04,-2.81,-10.21,1.31,5.06,3.87,2.62,1.89
Net profit,37.9,21.17,-31.22,-32.92,6.46,17.51,6.32,5.2,3.14
