Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Equity Share Capital,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.04
Reserves,151.26,158.1,169.1,169.34,171.96,181.13,192.03,205.52,216.74
Borrowings,116.13,108.77,124.17,97.23,125.06,160.15,147.31,156.03,166.31
Other Liabilities,129.21,135.68,331.67,233.8,117.77,112.37,107.41,118.04,122.56
Total,413.64,419.59,641.98,517.41,431.83,470.69,463.79,496.63,522.65
Net Block,90.58,88.24,178.16,153.49,136.33,160.1,164.55,173.41,184.09
Capital Work in Progress,0.25,0.32,0.9,0.12,0.02,0.2,0.01,3.94,4.04
Investments,1.22,1.22,1.22,1.22,,,,,
Other Assets,321.59,329.81,461.7,362.58,295.48,310.39,299.23,319.28,334.52
Total,413.64,419.59,641.98,517.41,431.83,470.69,463.79,496.63,522.65
Receivables,101.16,103.96,202.69,108.59,96.08,87.47,97.79,115.78,108.52
Inventory,169.39,174.36,199.06,203.51,167.95,194.28,158.41,174.14,180.71
Cash & Bank,8.76,7.94,7.01,7.26,3.42,3.62,6.51,5.44,6.24
