Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Sales,545.55,602.35,652.05,458.06,487.82,654.33,636.86,675.48,739.99
Raw Material Cost,290.48,312.77,356.62,216.13,200.71,326.77,266.87,298.11,352.65
Change in Inventory,3.72,5.97,15.13,2.23,-37.5,27.21,-14.18,12.61,3.5
Power and Fuel,9.55,10.22,9.51,8.36,8.16,9.49,9.48,9.98,
Other Mfr. Exp,37.75,41.92,44.28,19.18,36.36,53.16,49.69,53.88,
Employee Cost,76.79,83.75,90.82,72.95,82.26,103.97,109.09,127.07,146.41
Selling and admin,83.28,106.18,93.34,45.96,71.71,115.0,108.75,118.85,
Other Expenses,11.18,12.02,12.41,46.42,5.86,11.39,11.65,10.99,180.11
Other Income,-0.28,0.28,4.88,-0.1,-0.01,-0.13,-4.51,-2.39,0.65
Depreciation,13.46,13.47,33.49,34.42,29.05,31.69,33.76,32.78,34.02
Interest,15.61,14.81,14.32,14.41,12.22,12.09,13.59,13.16,15.97
Profit before tax,10.89,13.46,17.27,2.36,3.98,17.85,15.29,20.88,14.98
Tax,4.29,6.62,6.68,2.11,1.74,4.94,4.14,7.31,3.78
Net profit,6.6,6.84,10.59,0.25,2.24,12.91,11.16,13.56,11.19
