Particulars,Note,CurrentYear,PreviousYear
Particulars,,,
Cash flow from Operating Activities,,,
Profit before tax for the year,,48908.73,28313.98
Adjustments for:,,,
Finance Cost,,13.57,11.69
Depreciation and Amortisation expense,,18100.96,13423.52
Interest Expense,,6292.15,4892.79
Rent Concession on account of COVID - 19,,-304.60,-2816.19
Loss on Sale / Discard of Property Plant & Equipment (net),,142.38,329.84
Dividend income from Current Investments in Mutual Funds,,-12.06,0
Net gain on sale of Investments,,-679.61,-366.36
Net Gain arising on Investments designated as FVTPL,,-647.76,-1211.36
Interest Income,,-3011.13,-1081.20
"Allowance for expected credit losses, advances and deposits",,0,33.73
"Liabilities no longer required, written back",,-250.31,-180.31
Advances written off,,0,49.32
Employee's Stock Options Expenses,,901.29,329.23
Operating profit before working capital changes,,69453.61,41728.68
Movement in working capital:,,,
(Increase)/Decrease in Trade Receivable,,1328.09,-750.44
(Increase) in other financial assets,,-1546.36,-1473.35
(Increase)/Decrease in other current assets,,2133.30,-4791.13
(Increase) in Inventories,,-17374.36,-13443.77
Decrease/(Increase) in other non-current assets,,215.00,-60.59
Increase in trade and other payables,,2551.16,2777.93
Increase/(Decrease) in Other current liabilities,,-4380.73,4626.39
(Decrease) in Other non-current liabilities,,-31.11,0
(Decrease)/Increase in Other financial liabilities,,-288.44,84.90
Increase in Provisions,,128.17,416.95
Cash generated from Operations,,52188.33,29115.57
Less: Income taxes paid,,-14120.66,-7145.97
Net cash generated from Operating Activities,,38067.67,21969.60
Cash flows from investment activities:,,,
"Capital Expenditure on Property, Plant & Equipment and Intangible",,-9963.73,-4791.69
assets including Capital Advances and Capital Creditors,,,
"Proceeds from Sale / Discard of Property, Plant & Equipment",,813.00,48.37
Interest Received,,2111.46,675.97
Bank Balances (including Non Current) not considered as Cash and Cash,,17663.50,-31406.31
equivalents,,,
Purchase of Current Investments,"(134,620.56)",,-29998.35
Redemption of Current Investments,,128555.34,35379.20
