Particulars,Note,CurrentYear,PreviousYear
Note,For the year,endedFor,theyearended
Particulars,,,
No.,March,312023,March312022
I Income,,,
Revenue from operations 17,,212709.55,134293.05
Other Income 18,,5441.41,5863.95
Total Income,,218150.96,140157.00
II Expenses,,,
(a) Purchases of stock-in-trade 19,,106571.54,70034.10
(b) Changes in inventories of stock in trade 19.b,,-17373.85,-13443.78
(c) Employee benefits expense 21,,18434.59,12124.44
(d) Finance Costs 22,,6305.72,5042.90
(e) Depreciation and amortisation expense 20,,18100.96,13423.52
(f) Other expenses 23,,37203.27,24661.84
Total Expenses,,169242.23,111843.02
III Profit before tax for the year (I-II),,48908.73,28313.98
IV Tax expense,,,
(a) Current tax 24,,13705.97,7580.45
(c) Deferred tax (credit) 24,,-1132.39,-561.80
Total tax expense,,12573.58,7018.65
V Profit for the year after tax and before share of profit of a Joint,,36335.15,21295.33
Venture (III-IV),,,
VI Share of profit of a Joint Venture,,203.54,124.32
VII Profit after tax for the year (V+Vl),,36538.69,21419.65
VIII Other comprehensive income/(loss) for the year,,-194.17,40.99
(a) Items that will not be reclassified to profit or loss,,,
- Gain / (Loss) on Remeasurements of the defined benefit plans,,,
(i) Group,,-152.42,100.34
(ii) Share in Joint Venture,,-3.23,-5.73
- Income tax relating to items that will not be reclassified,,30.84,-25.25
to profit or loss,,,
(b) Items that will be reclassified to profit or loss,,,
- Gain / (Loss) arising on fair valuation of quoted,,-69.36,-28.37
investments in bonds,,,
- Income tax relating to items that will be reclassified to profit or loss,,0,0
XI Total comprehensive income for the year (VII +VIII),,36344.52,21460.64
Profit after tax for the year attributable to:,,,
- Equity holders of the Parent,,36145.25,21159.08
- Non-controlling interests,,393.44,260.57
Other comprehensive income for the year attributable to:,,,
- Equity holders of the Parent,,-195.76,43.26
- Non-controlling interests,,1.59,-2.27
Total comprehensive income for the year attributable to:,,,
- Equity holders of the Parent,,35949.49,21202.34
- Non-controlling interests,,395.03,258.30
Earnings per equity share (Face value of ` 5 each):,,,
Basic (`) 31,,13.31,8.01
Diluted (`) 31,,13.26,7.98
See accompanying notes from 1 to 51 forming part of the Consolidated financial statements,,,
In terms of our report attached. For and on behalf of the Board,of Directors,,
For S R B C & CO LLP Metro Brands Limited,,,
Chartered Accountants,,,
ICAI Firm Registration no. 324982E/E300003,,,
Firoz Pradhan Rafique A.Malik,Farah Malik Bhanji,Nissan,Joseph
Partner Chairman,Managing Director,Chief,ExecutiveOfficer
Membership No.109360 DIN:00521563,DIN:00530676,,
Kaushal Parekh,Deepa Sood,,
Chief Financial Officer,Company Secretary,,
