Particulars,Note,CurrentYear,PreviousYear
"for the year ended March 31, 2024",,,
CIN: L19200MH1977PLC019449,,,
Particulars,,,
I Income,,,
Revenue from operations,17,2356.70,2127.10
Other Income,18,70.82,54.41
Total Income,,2427.52,2181.51
II Expenses,,,
(a) Purchases of stock-in-trade,19a,1051.91,1065.71
(b) Changes in inventories of stock in trade,19b,-64.38,-173.74
(c) Employee benefits expense,21,227.95,184.35
(d) Finance Costs,22,78.89,63.06
(e) Depreciation and amortisation expense,20,229.12,181.01
(f) Other expenses,23,441.65,372.03
Total Expenses,,1965.14,1692.42
III Profit before tax for the year (I-II),,462.38,489.09
IV Tax expense,,,
(a) Current tax,24a,81.45,137.06
(b) Deferred tax (credit),24d,-31.52,-11.32
Total tax expense,,49.93,125.74
V Profit for the year after tax and before share of profit of a Joint Venture (III-IV),,412.45,363.35
"VI Share of profit of a Joint Venture, net of tax",,3.02,2.04
VII Profit after tax for the year (V+Vl),,415.47,365.39
VIII Other comprehensive income/(loss) for the year,,1.21,-1.94
(a) Items that will not be reclassified to profit or loss,,,
- Gain / (Loss) on Remeasurements of the defined benefit plans,,,
(i) Group,,1.84,-1.52
(ii) Share in Joint Venture,,0,-0.03
- Income tax relating to items that will not be reclassified to profit or loss,,-0.44,0.31
(b) Items that will be reclassified to profit or loss,,,
- Loss arising on fair valuation of quoted investments in bonds,,-0.03,-0.70
- Income tax relating to items that will be reclassified to profit or loss,,-0.16,0
IX Total comprehensive income for the year (VII+VIII),,416.68,363.45
Profit after tax for the year attributable to:,,,
- Equity holders of the Parent,,412.51,361.45
- Non-controlling interests,,2.96,3.94
Other comprehensive income for the year attributable to:,,,
- Equity holders of the Parent,,1.21,-1.96
- Non-controlling interests,,0,0.02
Total comprehensive income for the year attributable to:,,,
- Equity holders of the Parent,,413.72,359.50
- Non-controlling interests,,2.96,3.95
Earning per equity share (face value of ` 5 each):,,,
Basic (`),31,15.18,13.31
Diluted (`),31,15.11,13.26
See accompanying notes from 1 to 54 forming part of the Consolidated financial,statements,,
In terms of our report attached. For and on behalf of the Board,of Directors,,
For S R B C & CO LLP Metro Brands Limited,,,
Chartered Accountants CIN-L19200MH1977PLC019449,,,
ICAI Firm Registration no. 324982E/E300003,,,
Firoz Pradhan Rafique A.Malik,Farah Malik Bhanji,NissanJoseph,
Partner Chairman,Managing Director,ChiefExecutive,Officer
Membership No.109360 DIN:00521563,DIN:00530676,,
