Particulars,Note,CurrentYear,PreviousYear
CIN: L19200MH1977PLC019449,,CIN:,L19200MH1977PLC019449
Particulars,For the year ended For the year ended,,ParticularsFortheyearendedFortheyearended
Cash flow from Operating Activities,,Cash,flowfromFinancingActivities
Profit before tax for the year (before share of profit of joint venture),501.94 462.38,,Proceedsfromissueofshares8.104.20
Adjustments for:,,,ProceedsfromShareapplicationmoneypendingallotment0.210.15
Depreciation and Amortisation expense,258.03 229.12,,Repaymentsofborrowings-(1.52)
Interest Expense,90.46 78.89,,PaymentofLeaseLiabilities(238.87)(209.71)
Impairment provision on investments,1.33 -,,InterestPaid(0.48)(0.26)
Gain on termination of lease,(2.93) (3.39),,PaymentofFinalandInterimDividend(541.96)(115.53)
Loss on Sale / Discard of Property Plant & Equipment (net),2.05 4.35,Net,cashusedinFinancingActivities(773.00)(322.67)
Dividend income from Current Investments in Mutual Funds,(1.05) (0.47),Net,increaseincashandcashequivalents46.9216.09
Net gain on sale of Investments,(17.84) (3.99),Cash,andcashequivalentsatthebeginningoftheyear47.9231.83
Net Gain arising on Investments designated as FVTPL,(2.87) (9.59),Cash,andcashequivalentsattheendoftheyear[Refernote9a]94.8447.92
Interest Income,(61.71) (44.67),,
"Liabilities no longer required, written back",(2.27) (3.42),,`incrores
Employee's Stock Options Expenses,11.33 13.83,,
Operating profit before working capital changes,776.47 723.03,,
Movement in working capital:,,,
(Increase)/Decrease in Trade Receivable,(15.53) 29.60,,
(Increase)/Decrease in Other financial assets,(19.41) (17.74),,
(Increase)/Decrease in Other current assets,13.89 24.88,,
(Increase)/Decrease in Inventories,73.26 (64.39),Notes,:
(Increase)/Decrease in Other non-current assets,(0.79) 0.33,1.,TheCashFlowStatementhasbeenpreparedusingtheindirectmethodsetoutinIndAS7-StatementofCashFlows.
Increase/(Decrease) in Trade and other payables,(35.66) (41.50),,
Increase/(Decrease) in Other current liabilities,41.53 18.73,,
Increase/(Decrease) in Other non-current liabilities,(0.32) (3.09),,
Increase/(Decrease) in Other financial liabilities,(1.96) 3.60,See,accompanyingnotesfrom1to54whichformanintegralpartoftheConsolidatedfinancialstatements
Increase/(Decrease) in Provisions,2.35 0.63,In,termsofourreportofevendateattached.ForandonbehalfoftheBoardofDirectors
Cash generated from Operations,833.83 674.08,,CharteredAccountantsCIN:L19200MH1977PLC019449
Less: Income taxes paid,(136.30) (84.00),ICAI,FirmRegistrationno.324982E/E300003
Net cash generated from Operating Activities,697.53 590.08,Firoz,PradhanRafiqueA.MalikFarahMalikBhanjiNissanJoseph
Cash flows from Investing Activities,,,PartnerChairmanManagingDirectorChiefExecutiveOfficer
"Capital Expenditure on Property, Plant & Equipment and Intangible assets including",,,MembershipNo.109360DIN:00521563DIN:00530676
Capital Advances and Capital Creditors,,,KaushalParekhDeepaSood
"Proceeds from Sale / Discard of Property, Plant & Equipment",1.33 5.06,,ChiefFinancialOfficerCompanySecretary
Interest Received,48.76 47.81,Place:,MumbaiPlace:Mumbai
Investments in Fixed Deposits,(126.02) (164.03),Date:,May222025Date:May222025
Redemption of Fixed Deposits,59.61 231.33,,
Purchase of Current Investments,"(2,140.55) (1,629.32)",,
Redemption of Current Investments,"2,365.61 1,373.50",,
