Particulars,Note,CurrentYear,PreviousYear
Revenue from Operations,20,2782.77,2653.27
Other Income,21,18.57,23.72
Total Income,,2801.34,2676.99
EXPENSES,,,
"Cost of Materials Consumed, including Packing Material",,1183.19,1307.88
Purchases of Stock-in-Trade,,73.46,81.13
"Changes in Inventories of Finished Goods, Stock-in-Trade and Work-in-Progress",22,77.67,-172.31
Employee Benefits Expense,23,343.25,334.69
Finance Costs,24,19.24,15.33
Depreciation and Amortisation Expense,25,125.10,113.54
Other Expenses,26,769.42,686.13
Total Expenses,,2591.33,2366.39
Profit Before Tax,,210.01,310.60
Tax Expense,27,,
Current Tax,,54.58,80.84
Deferred Tax,,0.95,-3.06
Tax for Earlier years,,0.01,0.14
Profit for the year,,154.47,232.68
Other Comprehensive Income not to be reclassified to Profit or Loss,,,
Remeasurement Gains / (Losses) on Defined Benefit Plan,31(b),2.62,0.42
Income Tax effect on above,,-0.66,-0.11
Total Comprehensive Income for the year,,156.43,232.99
(Comprising Profit and Other Comprehensive Income for the year),,,
Earnings Per Equity Share of D1/- each (In D),33,,
Basic,,6.21,9.36
Diluted,,6.21,9.35
Significant Accounting Policies (Refer note no. 29),,,
The accompanying notes are an integral part of financial statements.,,,
As per our report of even date,For and on behalf,oftheBoardofDirectors,
For Gupta & Dua,Ramesh Kumar,DuaMukand,LalDua
Chartered Accountants,Managing Director,Whole,TimeDirector
Firm’s Registration No. 003849N,DIN :00157872,DIN,:00157898
Mukesh Dua,,,
Partner,Sushil Batra,Ankit,Jain
Membership No. 085323,Chief Financial,OfficerCompany,Secretary
"Delhi, May 10, 2023",,,
