Company,FinancialYear,Receivable_Days,Inventory_Days,Gross_Margin_Pct,EBITDA_Margin_Pct,Net_Margin_Pct
Bata,FY20,7.56,245.95,57.57,29.47,10.76
Bata,FY21,16.96,265.1,50.98,14.73,-5.23
Bata,FY22,10.96,292.49,54.48,19.87,4.31
Bata,FY23,8.73,218.13,56.15,24.12,9.36
Bata,FY24,8.41,227.37,57.1,23.19,7.55
Bata,FY25,11.69,195.06,56.31,26.55,9.48
Campus Activewear,FY18,113.3,108.25,37.74,17.2,7.68
Campus Activewear,FY19,86.39,127.74,39.91,17.88,8.66
Campus Activewear,FY20,78.35,139.89,36.16,17.11,9.53
Campus Activewear,FY21,50.39,195.38,45.66,16.77,3.78
Campus Activewear,FY22,40.86,216.43,49.49,20.46,9.09
Campus Activewear,FY23,43.44,222.02,49.34,17.27,7.89
Campus Activewear,FY24,29.8,217.78,51.98,14.87,6.18
Campus Activewear,FY25,33.91,191.53,51.83,16.21,7.61
Campus Activewear,FY26,31.43,196.16,52.86,17.74,8.46
Khadim India,FY18,61.78,99.38,37.85,11.57,5.06
Khadim India,FY19,61.26,113.96,37.88,8.19,2.65
Khadim India,FY20,56.26,126.06,36.36,5.26,-4.04
Khadim India,FY21,70.36,168.76,51.41,3.66,-5.26
Khadim India,FY22,82.2,165.09,37.19,11.08,1.09
Khadim India,FY23,103.68,171.79,41.94,13.97,2.65
Khadim India,FY24,158.16,341.44,51.44,15.55,1.48
Khadim India,FY25,193.03,414.83,54.35,15.78,1.24
Khadim India,FY26,185.31,250.95,48.93,15.82,0.86
Liberty Shoes,FY18,67.68,215.61,47.44,7.32,1.21
Liberty Shoes,FY19,63.0,207.44,49.07,6.93,1.14
Liberty Shoes,FY20,113.46,212.76,47.63,9.98,1.62
Liberty Shoes,FY21,86.53,347.27,53.3,11.18,0.05
Liberty Shoes,FY22,71.89,257.34,51.17,9.28,0.46
Liberty Shoes,FY23,48.79,236.72,54.22,9.42,1.97
Liberty Shoes,FY24,56.05,205.73,55.87,9.84,1.75
Liberty Shoes,FY25,62.56,222.63,57.73,9.89,2.01
Liberty Shoes,FY26,53.53,188.91,52.82,8.78,1.51
Metro,FY20,19.92,-11921.58,100.9,,
Metro,FY21,23.06,293.39,54.94,25.34,8.15
Metro,FY22,15.69,273.6,57.86,31.27,15.86
Metro,FY23,18.06,264.25,58.07,31.69,17.08
Metro,FY24,11.72,262.48,58.1,29.6,17.5
Metro,FY25,13.28,219.13,57.69,30.53,14.14
Relaxo,FY20,26.06,157.24,56.88,17.34,9.39
Relaxo,FY21,28.07,153.58,57.47,21.97,12.36
Relaxo,FY22,34.5,201.97,54.14,16.56,8.77
Relaxo,FY23,35.46,154.22,52.05,12.73,5.55
Relaxo,FY24,44.81,179.19,58.14,14.94,6.88
Relaxo,FY25,40.83,177.14,58.81,14.66,6.11
